"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","Score","%D","ADP","Ros","+/-","IP","QS","SV","HLD","BB/9","K","ERA","H/IP","H/AB","R","RBI","HR","SB","AVG","OBP","SLG","GP"
"*03yui*","Alex Lange","KC","RP","","FA","30","100,000","A","37.39","3","467","9%","0%","31","0","0","0","5.81","35","4.06","0.77","0/0","0","0","0","0","0","0","0","29"
"*05mrv*","Eric Orze","MIN","RP","","FA","28","100,000","A","30.03","3","467.1","8%","0%","46","0","0","0","4.89","47","4.50","0.89","0/0","0","0","0","0","0","0","0","35"
"*03qln*","Jimmy Herget","COL","RP","","FA","32","100,000","A","48.56","4","467.4","7%","0%","75","0","0","11","3.24","69","3.96","0.97","0/0","0","0","0","0","0","0","0","57"
"*02n9l*","Dietrich Enns","BAL","RP","","FA","34","100,000","A","25.76","3","467.4","5%","0%","40","0","0","4","3.15","38","4.95","1.10","0/0","0","0","0","0","0","0","0","25"
"*05xsm*","Chase Silseth","LAA","RP","","FA","25","100,000","A","23.48","3","467.8","10%","0%","73","0","0","0","6.78","68","5.05","0.92","0/0","0","0","0","0","0","0","0","58"
"*030vs*","Kirby Yates","LAA","RP","","FA","38","100,000","A","59.03","21","468","29%","0%","50","0","7","11","4.32","65","3.96","0.76","0/0","0","0","0","0","0","0","0","53"
"*02f9m*","Jakob Junis","TEX","RP","","FA","33","100,000","A","64.58","3","468.1","7%","0%","64","0","0","8","2.11","58","3.38","0.88","0/0","0","0","0","0","0","0","0","45"
"*03yso*","A.J. Puk","ARI","RP","","FA","30","100,000","A","56.41","4","468.2","25%","+1%","17","0","2","3","2.65","23","3.71","0.82","0/0","0","0","0","0","0","0","0","20"
"*04o10*","Joel Peguero","SF","RP","","FA","28","100,000","A","30.56","5","468.2","8%","0%","32","0","0","7","4.50","28","4.50","0.94","0/0","0","0","0","0","0","0","0","27"
"*02nax*","Matt Strahm","KC","RP","","FA","34","100,000","A","67.02","25","468.9","41%","0%","67","0","0","0","2.28","77","2.96","0.78","0/0","0","0","0","0","0","0","0","65"
"*05r1d*","Jordan Wicks","CHC","RP","","FA","26","100,000","A","29.58","6","469.4","14%","+1%","55","0","2","0","3.60","50","4.58","1.02","0/0","0","0","0","0","0","0","0","30"
"*05y5d*","Bradgley Rodriguez","SD","RP","","FA","22","100,000","A","38.51","3","469.4","12%","0%","19","0","0","0","5.68","18","3.79","0.79","0/0","0","0","0","0","0","0","0","16"
"*050ok*","Yennier Cano","BAL","RP","","FA","31","100,000","A","65.22","6","469.9","19%","0%","63","0","2","21","3.14","60","3.71","0.89","0/0","0","0","0","0","0","0","0","68"
"*01vxp*","Brooks Raley","NYM","RP","","FA","37","100,000","A","72.21","6","470","12%","0%","44","0","2","14","2.86","45","2.86","0.75","0/0","0","0","0","0","0","0","0","56"
"*02hhj*","Ryne Stanek","STL","RP","","FA","34","100,000","A","43.73","7","470.1","8%","0%","58","0","2","13","4.03","60","4.34","0.93","0/0","0","0","0","0","0","0","0","63"
