Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Devereaux Harrison,TOR,AAA,25,34.2,6.749999009646047,4.413460890922416,1.52941176,0.7788460395745439,0.17687075,0.11564626,0.06122449,0.21538462,1.29807673262424,0.24752475,0.51470588,5.711537623546656,4.648464819665515,1.0630728038811412,5.5748173783825,sa3020259
Murphy Stehly,MIN,AA,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57142857,4.0,0.57142857,0.25,27.0,3.6549355506896974,23.345064449310303,9.364920449256896,sa3020276
Marquis Grissom Jr.,WSN,AA,24,14.2,7.977270998245803,5.522726075708633,1.44444444,1.8409086919028776,0.18571429,0.12857143,0.05714286,0.23333333,1.5681814782876364,0.25,0.55555556,5.522726075708633,6.4943091540298585,-0.9715830783212258,6.648560849819565,sa3020312
Alex Williams,MIA,AA,26,56.1,8.147929729748764,3.5147932167543687,2.31818182,1.4378699523086054,0.20564516,0.08870968,0.11693548,0.25675676,1.4023669905232077,0.2962963,0.59659091,5.7514798092344215,5.310114331297359,0.4413654779370626,4.716163678238339,sa3020314
Cedric De Grandpre,ATL,"A+,AA",24,56.1,12.940829160008079,4.15384639703963,3.11538462,1.1183432607414387,0.3266129,0.10483871,0.22177419,0.24311927,1.402366946009106,0.35384615,0.6147541,5.591716303707194,3.933126470135294,1.6585898335719005,3.3647251953256077,sa3020315
Daniel Harper,PHI,"AA,AAA",27,20.0,9.0,7.2,1.25,0.45,0.21978022,0.17582418,0.04395604,0.21333333,1.6,0.27777778,0.58823529,4.95,4.607062020273133,0.3429379797268668,5.642783847571536,sa3020316
Chance Huff,WSN,AA,26,29.1,10.125001097267443,7.3636371616490495,1.375,0.9204546452061312,0.23404255,0.17021277,0.06382979,0.28205128,1.943182028768499,0.37037037,0.56818182,7.67045537671776,5.096582683009568,2.573872693708192,4.598252044869872,sa3020317
Andrew Walling,PHI,AAA,26,10.1,13.935488158037789,13.064520148160426,1.06666667,1.7419360197547236,0.27586207,0.25862069,0.01724138,0.30232558,2.709678252951792,0.44,0.67460317,9.58064810865098,7.326505843806946,2.2541422648440337,5.534792831630614,sa3020319
Cy Nielson,PIT,AA,25,31.2,8.810525431329282,5.6842099556963115,1.55,0.28421049778481555,0.21527778,0.13888889,0.07638889,0.2601626,1.6421050983122676,0.34065934,0.69767442,4.547367964557049,4.004596826442396,0.5427711381146532,4.541722713848806,sa3020321
Bryce Hubbart,CIN,"A,AA,AAA",25,20.2,9.145164156463371,1.741936029802547,5.25,0.8709680149012735,0.2625,0.05,0.2125,0.21052632,0.9677422387791929,0.26415094,0.52325581,4.354840074506368,3.475784113662585,0.8790559608437825,4.088226154568523,sa3020323
Marcus Johnson,TBR,"AA,AAA",25,14.1,4.395349812030751,3.7674426960263574,1.16666667,1.255814232008786,0.10769231,0.09230769,0.01538462,0.28813559,1.6046515186778931,0.3,0.74257426,5.023256928035144,5.652794075119316,-0.6295371470841724,5.6667289150410545,sa3020324
Wilian Bormie,TEX,"AA,AAA",25,30.2,12.032611190259185,3.521739860563664,3.41666667,0.5869566434272773,0.32283465,0.09448819,0.22834646,0.19469027,1.1086958820293016,0.28571429,0.84337349,2.0543482519954708,3.2573403178071407,-1.20299206581167,3.8166000920276018,sa3020327
Owen Murphy,ATL,"AA,AAA",22,69.1,10.38461414667291,4.543268689169398,2.28571429,1.5576921220009365,0.27118644,0.11864407,0.15254237,0.22568093,1.3413459939452508,0.27878788,0.71969697,4.8028840428362205,5.170718443350447,-0.36783440051422645,4.908494942186547,sa3020330
Livan Reinoso,MIA,AA,27,23.0,10.956521739130435,5.869565217391305,1.86666667,1.565217391304348,0.25688073,0.13761468,0.11926606,0.26136364,1.6521739130434783,0.33928571,0.703125,5.478260869565218,6.224443999580715,-0.7461831300154973,5.663756880034571,sa3020331
Yoendris Gonzalez,CHC,"A,CPX",23,12.0,12.0,2.25,5.33333333,0.75,0.35555556,0.06666667,0.28888889,0.12820513,0.6666666666666666,0.18181818,0.9375,1.5,4.201001675923742,-2.7010016759237416,4.108420308182713,sa3020334
Braden Nett,OAK,AAA,24,9.1,11.571432512634997,14.464290640793745,0.8,0.9642860427195831,0.23529412,0.29411765,-0.05882353,0.19444444,2.3571436599812032,0.26086957,0.63106796,8.678574384476248,7.636622021150039,1.0419523633262084,8.11538785283028,sa3020336
Michael Walsh,PIT,"A,AA,CPX",25,17.0,9.529411898352285,2.11764708852273,4.5,0.5294117721306825,0.26086957,0.05797101,0.20289855,0.23076923,1.1176470744981075,0.30434783,0.625,4.23529417704546,2.984956410025302,1.2503377670201576,3.8569373545217784,sa3020337
Juanmi Vasquez,TOR,A+,22,28.1,13.976472156353239,5.717647700326325,2.44444444,0.9529412833877208,0.33082707,0.13533835,0.19548872,0.26315789,1.694117837133726,0.40298507,0.625,5.4000006058637515,3.989423683654351,1.4105769222094007,4.101018324936729,sa3020344
Caleb Farmer,WSN,AA,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.562491607666016,-3.562491607666016,5.438053366541863,sa3020354
Jaycob Deese,PIT,"A+,AA",26,29.1,8.590910021923891,4.909091441099366,1.75,1.534091075343552,0.19047619,0.10884354,0.08163265,0.3359375,2.0113638543393235,0.4,0.52727273,9.204546452061312,5.814661417459337,3.389885034601974,4.942405113873266,sa3020376
Kyle Luckham,WSN,AA,26,68.2,7.470874893169943,2.883495572802434,2.59090909,0.786407883491573,0.17484663,0.06748466,0.10736196,0.30434783,1.645631311750884,0.36016949,0.66605839,5.373787203859082,4.21783151057566,1.1559556932834214,4.311039473161682,sa3020378
Blake Burkhalter,ATL,"A+,AA,CPX",25,7.1,13.500006291002258,1.2272732991820234,11.0,1.2272732991820234,0.34375,0.03125,0.3125,0.32258065,1.5000006990002508,0.47368421,0.625,1.2272732991820234,2.8697103765964727,-1.6424370774144492,2.572731604014904,sa3020382
Drew McDaniel,CHW,A+,25,49.2,7.610737475633304,4.348992843219031,1.75,1.6308723162071366,0.2,0.11428571,0.08571429,0.22162162,1.308724698190912,0.23880597,0.76779026,4.348992843219031,5.7688083265167425,-1.419815483297712,5.634911615939139,sa3020384
Carlos Torres,COL,AA,25,35.2,7.822428791020646,1.7663548882949847,4.42857143,1.5140184756814155,0.21232877,0.04794521,0.16438356,0.23913043,1.1214951671714188,0.26732673,0.9202454,2.7757005387492617,4.683986774837434,-1.9082862360881725,3.6539595954241015,sa3020387
Mason Adams,CHW,"A+,AAA,CPX",26,22.0,9.409090909090908,1.2272727272727273,7.66666667,1.2272727272727273,0.26744186,0.03488372,0.23255814,0.25925926,1.0909090909090908,0.32727273,0.87155963,2.8636363636363638,4.051980339397084,-1.1883439757607204,2.9668504247611223,sa3020388
