Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"George Klassen","LAA",3,4,,4.67647,24,10,0,1,,57,251,56,32,30,8,24,,3,53,8.29412,3.70588,2.2381,1.23529,0.209821,0.09375,0.1160714328289032,0.249377,1.39216,0.293515,0.694444,,,4.45867,0.436741,0.239893,999,,,,,,,206.79999999999998,3.6280701754385962,210,3.6842105263157894,,,,,,,,,,,,,,,,,,,"George Klassen","sa3023440",691946
"Kirby Yates","LAA",4,5,,3.94919,56,0,4,12,,56,235,44,27,25,6,27,,4,67,10.8083,4.3649,2.47619,1.03926,0.285714,0.115385,0.17032966017723083,0.21519,1.27021,0.287129,0.708333,,,3.89726,0.43673,0.282618,293.739990234375,,,,,,,335.20000000000005,5.985714285714287,311,5.553571428571429,,,,,,,,,,,,,,,,,,,"Kirby Yates","9073",489446
"Connelly Early","BOS",3,2,,4.07202,17,5,0,1,,36,158,33,18,16,4,13,,3,37,9.14127,3.3241,2.75,0.99723,0.234043,0.0851064,0.1489361748099327,0.235714,1.28347,0.291946,0.703764,,,3.92923,0.43027,0.330817,267.4700012207031,,,,,,,161.40000000000003,4.483333333333334,158,4.388888888888889,,,,,,,,,,,,,,,,,,,"Connelly Early","33666",813349
"Victor Vodnik","COL",3,4,,4.10526,64,0,23,4,,64,282,61,31,29,7,31,,1,61,8.52632,4.42105,1.92857,0.947368,0.215139,0.111554,0.10358566045761108,0.243243,1.4386,0.296296,0.733696,,,4.13514,0.427469,1.04244,495.260009765625,,,,,,,385.9,6.0296875,386,6.03125,,,,,,,,,,,,,,,,,,,"Victor Vodnik","24614",680767
"Tyler Anderson","LAA",4,6,,4.84561,18,18,0,0,,97,423,99,57,52,16,39,,4,75,6.98337,3.6342,1.92157,1.49644,0.178182,0.0927273,0.0854545384645462,0.261134,1.42518,0.288,0.703851,,,5.07496,0.423709,0.352979,999,,,,,,,284.6,2.9340206185567013,298,3.0721649484536084,,,,,,,,,,,,,,,,,,,"Tyler Anderson","12880",542881
"Jordan Montgomery","TEX",2,3,,4.45545,18,6,0,1,,50,215,50,27,25,7,17,,1,42,7.66337,3.11881,2.45714,1.24752,0.196796,0.0800915,0.11670480668544769,0.255639,1.35644,0.294314,0.706985,,,4.36286,0.417559,0.303049,999,,,,,,,187.89999999999998,3.7579999999999996,193,3.86,,,,,,,,,,,,,,,,,,,"Jordan Montgomery","16511",656756
"Colin Rea","CHC",5,5,,4.3886,48,8,0,1,,87,370,87,46,43,12,25,,4,66,6.8192,2.56564,2.65789,1.28282,0.178445,0.0671378,0.11130742728710175,0.254789,1.28282,0.283582,0.699446,,,4.46297,0.40811,0.36633,745.8400268554688,,,,,,,319.00000000000006,3.6666666666666674,328,3.7701149425287355,,,,,,,,,,,,,,,,,,,"Colin Rea","12317",607067
"Justin Wrobleski","LAD",4,4,,4.41818,42,5,0,1,,67,288,65,36,33,10,21,,2,63,8.42727,2.86364,2.94286,1.30909,0.219616,0.0746269,0.14498934149742126,0.246512,1.28182,0.289389,0.699831,,,4.21695,0.408045,0.228759,708.22998046875,,,,,,,264.79999999999995,3.9522388059701488,266,3.970149253731343,,,,,,,,,,,,,,,,,,,"Justin Wrobleski","31204",680736
"Justin Topa","MIN",4,3,,4.04082,62,0,2,12,,62,270,63,30,28,5,19,,5,49,7.16327,2.7551,2.6,0.734694,0.183099,0.0704225,0.11267606168985367,0.257732,1.32653,0.304636,0.690236,,,3.76779,0.407935,0.224484,746.3699951171875,,,,,,,317.49999999999994,5.120967741935483,329,5.306451612903226,,,,,,,,,,,,,,,,,,,"Justin Topa","15145",623437
"Yennier Cano","BAL",5,3,,3.58209,60,0,1,13,,60,254,57,26,24,6,20,,2,53,7.91045,2.98507,2.65,0.895522,0.207843,0.0784314,0.12941177189350128,0.244635,1.27695,0.293103,0.74344,,,3.76532,0.405614,0.4701,999,,,,,,,319,5.316666666666666,319,5.316666666666666,,,,,,,,,,,,,,,,,,,"Yennier Cano","25911",666974
