Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Luis Gonzalez,PHI,CPX,20,51,8.117647058823529,3,2.70588235,1.9411764705882353,0.18930041,0.06995885,0.11934156,0.30092593,1.607843137254902,0.33962264,0.49608355,7.764705882352941,6.769574748768527,0.9951311335844144,5.597532375419841,sa3019164
Wande Torres,MIL,A+,21,81.2,9.146939914867158,3.746939242234739,2.44117647,0.9918368582386073,0.23380282,0.09577465,0.13802817,0.24595469,1.3469389432869976,0.30875576,0.70383912,4.8489801958331915,5.052098929632824,-0.20311873379963252,4.801809500632819,sa3019165
Cesar Perdomo,SFG,"AA,AAA",24,77.1,11.056035209921161,2.7931036319800824,3.95833333,1.047413861992531,0.30063291,0.07594937,0.22468354,0.21034483,1.0991380033254954,0.27956989,0.64516129,3.8405174939726137,3.669311567893241,0.1712059260793728,3.7620093171879985,sa3019248
Leonel Sequera,STL,A+,20,71.2,10.172094467105524,4.018605221572552,2.53125,2.1348840239604185,0.23964497,0.09467456,0.14497041,0.31023102,1.7581397844379918,0.37560976,0.57034221,7.786047616796821,6.250675293358724,1.5353723234380965,4.610537672845767,sa3019268
Yu-Min Lin,ARI,AAA,22,76,6.157894736842105,4.618421052631579,1.33333333,0.9473684210526315,0.14689266,0.11016949,0.03672316,0.28938907,1.6973684210526316,0.32669323,0.61576355,6.0394736842105265,5.645833005403217,0.39364067880730946,5.908842195374401,sa3019278
Luis De Leon,BAL,AA,23,70,11.057142857142857,5.014285714285714,2.20512821,1.1571428571428573,0.27922078,0.12662338,0.1525974,0.22180451,1.4,0.29239766,0.64479638,4.757142857142857,4.595176560538156,0.1619662966047013,3.880346737589155,sa3019283
Manuel Rodriguez,MIL,AA,20,82,8.670731707317072,1.646341463414634,5.26666667,2.1951219512195124,0.23795181,0.04518072,0.19277109,0.22468354,1.048780487804878,0.23502304,0.71186441,4.829268292682927,5.438909558552068,-0.6096412658691417,4.6866317192592275,sa3019291
Santiago Suarez,TBR,AA,21,74,8.27027027027027,1.0945945945945945,7.55555556,1.945945945945946,0.22368421,0.02960526,0.19407895,0.24657534,1.0945945945945945,0.26923077,0.64935065,5.108108108108108,5.0691007253286005,0.03900738277950744,4.086638595244369,sa3019386
Julio Mendez,MIA,A,21,71.2,12.432559904240085,4.3953494610949795,2.82857143,0.7534884790448536,0.32890365,0.11627907,0.21262459,0.21153846,1.2558141317414226,0.31612903,0.79908676,2.888372503005272,3.7626386502267484,-0.8742661472214763,3.572416738414194,sa3019580
Jose Gutierrez,KCR,A,23,82.1,8.417004568555859,2.8421054387331472,2.96153846,0.9838057287922433,0.22318841,0.07536232,0.14782609,0.25236593,1.2874494722466394,0.30735931,0.72327044,3.3886641769510604,4.183404978600027,-0.7947408016489668,4.054353373132845,sa3019742
