Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tanner Bibee","CLE",4,4,7,4.09871,13,13,0,0,,72,302,69,35,33,10,21,,2,64,8.06027,2.6238,3.07198,1.31865,0.212287,0.0691043,0.14318261295557022,0.24623,1.24995,0.284851,0.722547,,,4.19193,0.9023,1.01528,188.6300048828125,,,,,,,289.4000000000001,4.019444444444446,289,4.013888888888889,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Blake Snell","LAD",3,2,4,3.59807,8,8,0,0,,40,168,31,17,16,4,18,,1,50,11.3866,4.09134,2.78309,0.992751,0.299195,0.107505,0.19169021397829056,0.211028,1.24713,0.286637,0.743644,,,3.4218,0.899514,0.839661,178.41000366210938,,,,,,,209.20000000000002,5.23,191,4.775,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Kyle Leahy","STL",4,4,4,4.17749,23,10,0,0,,70,302,68,36,33,7,25,,3,61,7.76817,3.18887,2.43603,0.918008,0.201594,0.0827553,0.1188388243317604,0.246915,1.31325,0.293619,0.690952,,,3.89258,0.898165,0.629757,733.6699829101562,,,,,,,293.09999999999997,4.187142857142857,297,4.242857142857143,,,,,,,,,,,,,,,,,,,"Kyle Leahy","24763",681517
"Brandon Pfaadt","ARI",4,4,5,4.37663,20,11,0,0,,74,313,75,39,36,10,18,,4,66,8.07517,2.24195,3.60185,1.22477,0.211991,0.0588561,0.15313497185707092,0.257996,1.26346,0.303025,0.684924,,,3.97619,0.892822,0.738685,588.5999755859375,,,,,,,295.6,3.994594594594595,306,4.135135135135135,,,,,,,,,,,,,,,,,,,"Brandon Pfaadt","27782",694297
"Bryce Miller","SEA",4,3,5,3.91019,16,10,0,0,,61,251,54,29,26,8,16,,2,58,8.62353,2.34777,3.67308,1.20398,0.232849,0.0633935,0.16945576667785645,0.231238,1.14499,0.274702,0.702456,,,3.79655,0.889582,0.645603,341.6000061035156,,,,,,,274.60000000000014,4.501639344262298,263,4.311475409836065,,,,,,,,,,,,,,,,,,,"Bryce Miller","29837",682243
"Reynaldo López","ATL",4,3,5,3.7635,17,10,0,0,,57,241,51,26,24,7,21,,1,56,8.93909,3.29513,2.71282,1.04205,0.234305,0.0863696,0.147935688495636,0.233675,1.26675,0.285901,0.735271,,,3.77266,0.88619,0.958988,302.9100036621094,,,,,,,249.09999999999994,4.37017543859649,240,4.2105263157894735,,,,,,,,,,,,,,,,,,,"Reynaldo Lopez","16400",625643
"Trevor Megill","MIL",3,1,0,2.6007,26,0,8,2,,26,108,21,8,8,2,9,,1,34,11.5835,2.9158,3.97266,0.626442,0.315088,0.0793142,0.23577392101287842,0.208704,1.10384,0.298422,0.78473,,,2.47407,0.886118,0.905664,137.6999969482422,,,,,,,199.2,7.661538461538461,190,7.3076923076923075,,,,,,,,,,,,,,,,,,,"Trevor Megill","17722",656730
"Trey Yesavage","TOR",2,2,5,4.08691,11,11,0,0,,51,217,42,25,23,5,24,,1,53,9.36412,4.24664,2.20507,0.963049,0.243254,0.110316,0.13293782621622086,0.21966,1.30299,0.274679,0.701886,,,3.88983,0.885701,0.712554,194.2899932861328,,,,,,,237.70000000000005,4.660784313725491,221,4.333333333333333,,,,,,,,,,,,,,,,,,,"Trey Yesavage","35456",702056
"Nick Lodolo","CIN",3,4,5,4.65808,12,12,0,0,,61,258,58,34,32,8,19,,8,59,8.72905,2.80135,3.11601,1.23589,0.228964,0.0734797,0.15548410266637802,0.251693,1.26453,0.304434,0.654643,,,4.29038,0.863886,0.621734,127.94999694824219,,,,,,,239.2000000000001,3.921311475409838,238,3.901639344262295,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Logan Henderson","MIL",4,3,4,3.9099,13,9,0,0,,45,185,39,21,19,6,13,,1,47,9.52102,2.68854,3.54133,1.21881,0.255315,0.0720957,0.18321911245584488,0.228514,1.16984,0.28093,0.711688,,,3.73812,0.852885,0.622543,413.3999938964844,,,,,,,209.79999999999998,4.662222222222222,199,4.4222222222222225,,,,,,,,,,,,,,,,,,,"Logan Henderson","31475",701656
